t,T
2692800,0.058832
2696400,0.045976
2700000,0.0366688
2703600,0.009777
2707200,0.178959
2710800,0.4870274
2714400,0.9734152
2718000,1.4308391
2721600,1.778365
2725200,1.9689112
2728800,2.0088043
2732400,1.8660583
2736000,1.5124692
2739600,1.2700982
2743200,1.1257778
2746800,1.0014529
2750400,0.9332785
2754000,0.9123867
2757600,0.8234925
2761200,0.7745878
2764800,0.7320758
2768400,0.7015581
2772000,0.737329
2775600,0.8200413
2779200,0.7698455
2782800,0.8333994
2786400,0.8370752
2790000,0.9239427
2793600,1.1228785
2797200,1.8590058
2800800,2.7772892
2804400,3.7745115
2808000,4.6154828
2811600,5.1403437
2815200,5.2388553
2818800,5.0030794
2822400,4.3380033
2826000,3.815529
2829600,3.4981627
2833200,3.2515205
2836800,3.1334444
2840400,3.0366581
2844000,2.8081512
2847600,2.6753572
2851200,2.6482606
2854800,2.4987297
2858400,2.4465489
2862000,2.4562384
2865600,2.4989407
2869200,2.531371
2872800,2.5961125
2876400,2.6758439
2880000,2.9181274
2883600,3.4429385
2887200,4.1432234
2890800,4.7419523
2894400,5.2382618
2898000,5.6172883
2901600,5.7012126
2905200,5.643536
2908800,5.2489781
2912400,4.5433094
2916000,4.122495
2919600,3.8964908
2923200,3.8386845
2926800,3.7484935
2930400,3.8097941
2934000,3.8541863
2937600,3.7671385
2941200,3.7314006
2944800,3.6573141
2948400,3.5084065
2952000,3.2591819
2955600,2.8188277
2959200,2.4479977
2962800,2.2438899
2966400,2.6152862
2970000,3.4775967
2973600,4.5763128
2977200,5.3670093
2980800,5.899885
2984400,6.1272879
2988000,6.102009
2991600,5.6778926
2995200,4.8437247
2998800,4.2279983
3002400,3.8186275
3006000,3.5813234
3009600,3.4699642
3013200,3.4321148
3016800,3.3395597
3020400,3.2586198
3024000,3.169017
3027600,3.0534074
3031200,2.9055299
3034800,2.7140793
3038400,2.4580878
3042000,2.1494056
3045600,1.8405897
3049200,1.6710302
3052800,1.9607673
3056400,2.6281523
3060000,3.4138286
3063600,4.0060017
3067200,4.5452694
3070800,4.8675189
3074400,5.0150058
3078000,4.6998125
3081600,4.0604602
3085200,3.4232386
3088800,3.0280026
3092400,2.7444104
3096000,2.4365783
3099600,2.1961373
3103200,1.9819698
3106800,1.7737627
3110400,1.5593596
3114000,1.3910739
3117600,1.284971
3121200,1.1766096
3124800,1.0537294
3128400,0.9474346
3132000,0.8283321
3135600,0.6733005
3139200,0.8176023
3142800,1.2095917
3146400,1.6647381
3150000,2.1452045
3153600,2.4789656
3157200,2.7323004
3160800,2.7535433
3164400,2.6317422
3168000,2.1943464
3171600,1.5942136
3175200,1.2563569
3178800,1.0187262
3182400,0.824656
3186000,0.6473536
3189600,0.4566259
3193200,0.3319071
3196800,0.2038926
3200400,0.0911648
3204000,-0.0127684
3207600,-0.1084092
3211200,-0.165999
3214800,-0.2171611
3218400,-0.2336162
3222000,-0.235892
3225600,-0.125567
3229200,0.216071
3232800,0.6554444
3236400,1.0173015
3240000,1.3591505
3243600,1.4918472
3247200,1.4434744
3250800,1.3049318
3254400,0.979592
3258000,0.6240037
3261600,0.3901049
3265200,0.2034957
3268800,0.0113482
3272400,-0.1293123
3276000,-0.3036855
3279600,-0.4680764
3283200,-0.6179768
3286800,-0.7180994
3290400,-0.8799724
3294000,-0.9960531
3297600,-1.1103734
3301200,-1.2542642
3304800,-1.3713801
3308400,-1.4678999
3312000,-1.4486742
3315600,-1.3009643
3319200,-1.0016758
3322800,-0.6643388
3326400,-0.398173
3330000,-0.1748787
3333600,-0.1467709
3337200,-0.3142945
3340800,-0.7659273
3344400,-1.2264471
3348000,-1.5677283
3351600,-1.7982527
3355200,-2.0625139
3358800,-2.2603206
3362400,-2.5578021
3366000,-2.7301276
3369600,-2.8923678
3373200,-3.0760272
3376800,-3.2203121
3380400,-3.3612591
3384000,-3.4418589
3387600,-3.551886
3391200,-3.6076434
3394800,-3.6475034
3398400,-3.4688269
3402000,-3.1295891
3405600,-2.6221717
3409200,-2.1480758
3412800,-1.7245173
3416400,-1.4161733
3420000,-1.2965927
3423600,-1.4485188
3427200,-1.8408976
3430800,-2.2332783
3434400,-2.4765348
3438000,-2.6086941
3441600,-2.7800381
3445200,-2.9179049
3448800,-3.0297669
3452400,-3.1249027
3456000,-3.1841401
3459600,-3.2482992
3463200,-3.3149235
3466800,-3.3653948
3470400,-3.4183535
3474000,-3.4233076
3477600,-3.427569
3481200,-3.3442084
3484800,-3.0607484
3488400,-2.7067315
3492000,-2.2017682
3495600,-1.6209656
3499200,-1.1388726
3502800,-0.7387184
3506400,-0.4847987
3510000,-0.4613585
3513600,-0.6759658
3517200,-0.9160879
3520800,-1.0643386
3524400,-1.1366001
3528000,-1.1804955
3531600,-1.2931165
3535200,-1.3446295
3538800,-1.3633335
3542400,-1.3997193
3546000,-1.4501575
3549600,-1.5716292
3553200,-1.662022
3556800,-1.8062923
3560400,-1.8993102
3564000,-2.0278749
3567600,-2.0344472
3571200,-1.5399284
3574800,-0.8885982
3578400,-0.2161602
3582000,0.4613898
3585600,1.028837
3589200,1.4713797
3592800,1.6082445
3596400,1.4084907
3600000,0.8676962
3603600,0.297663
3607200,0.0581635
3610800,-0.1198396
3614400,-0.2699132
3618000,-0.3899571
3621600,-0.5727962
3625200,-0.7029714
3628800,-0.800003
3632400,-0.8697462
3636000,-0.9455695
3639600,-0.9707544
3643200,-0.9962061
3646800,-1.0611118
3650400,-1.0932744
3654000,-1.1215691
3657600,-0.9151379
3661200,-0.5123047
3664800,0.002904
3668400,0.5419441
3672000,1.0671301
3675600,1.4437643
3679200,1.5556832
3682800,1.3679741
3686400,0.7799789
3690000,0.1908815
3693600,-0.1687142
3697200,-0.4853271
3700800,-0.6867838
3704400,-0.9170139
3708000,-1.2498312
3711600,-1.4889684
3715200,-1.7747825
3718800,-1.9684196
3722400,-2.1646621
3726000,-2.3755859
3729600,-2.5207113
3733200,-2.7076359
3736800,-2.8517083
3740400,-2.9249431
3744000,-2.3204756
3747600,-1.3848784
3751200,-0.1180572
3754800,1.1545613
3758400,2.3013103
3762000,3.1857738
3765600,3.6937265
3769200,3.6363903
3772800,2.7825969
3776400,1.5611144
3780000,0.7452078
3783600,0.1964828
3787200,-0.2657662
3790800,-0.6914758
3794400,-1.208594
3798000,-1.5847882
3801600,-1.9187952
3805200,-2.2472013
3808800,-2.6224242
3812400,-2.9124815
3816000,-3.1548725
3819600,-3.3931856
3823200,-3.6572184
3826800,-3.7026764
3830400,-2.5128465
3834000,-0.8476002
3837600,0.9895764
3841200,2.6404798
3844800,4.2479511
3848400,5.5456283
3852000,6.2927331
3855600,6.3109018
3859200,5.1459837
3862800,3.0639389
3866400,1.7820666
3870000,1.1112748
3873600,0.5248779
3877200,0.0730103
3880800,-0.4804949
3884400,-0.8605495
3888000,-1.183435
3891600,-1.4914257
3895200,-1.7655946
3898800,-2.0136012
3902400,-2.1533326
3906000,-2.3993554
3909600,-2.5041935
3913200,-2.4346475
3916800,-0.4870043
3920400,2.1693119
3924000,4.5666472
3927600,6.6791115
3931200,8.3834624
3934800,9.59514
3938400,10.2539655
3942000,10.0778221
3945600,8.620143
3949200,5.9584788
3952800,4.3747011
3956400,3.4034304
3960000,2.8567209
3963600,2.432975
3967200,2.0637864
3970800,1.7910136
3974400,1.4743887
3978000,1.3721365
3981600,1.1067615
3985200,0.9787562
3988800,0.9216321
3992400,0.8650535
3996000,0.9587353
3999600,1.0434959
4003200,2.5396757
4006800,4.5735642
4010400,6.5695877
4014000,8.2721797
4017600,9.3708815
4021200,10.0793843
4024800,10.2466786
4028400,9.9326579
