"distance_km","duration_min","mean_distance","mean_duration","Chance"
250,240,262.5000000000000000,255.0000000000000000,0.00573755321117897464
275,240,287.5000000000000000,255.0000000000000000,0.01073477697575421062
300,240,312.5000000000000000,255.0000000000000000,0.02128447158985748658
325,240,337.5000000000000000,255.0000000000000000,0.01665741254858411993
350,240,362.5000000000000000,255.0000000000000000,0.00518230612622617065
375,240,387.5000000000000000,255.0000000000000000,0.00037016472330186933
0,270,12.5000000000000000,285.0000000000000000,0.00037016472330186933
25,270,37.5000000000000000,285.0000000000000000,0.00037016472330186933
50,270,62.5000000000000000,285.0000000000000000,0.00018508236165093467
75,270,87.5000000000000000,285.0000000000000000,0.00018508236165093467
100,270,112.5000000000000000,285.0000000000000000,0
125,270,137.5000000000000000,285.0000000000000000,0
150,270,162.5000000000000000,285.0000000000000000,0
175,270,187.5000000000000000,285.0000000000000000,0
200,270,212.5000000000000000,285.0000000000000000,0.00037016472330186933
225,270,237.5000000000000000,285.0000000000000000,0.00055524708495280400
250,270,262.5000000000000000,285.0000000000000000,0.00129557653155654266
275,270,287.5000000000000000,285.0000000000000000,0.00148065889320747733
300,270,312.5000000000000000,285.0000000000000000,0.00425689431797149732
325,270,337.5000000000000000,285.0000000000000000,0.00444197667962243198
350,270,362.5000000000000000,285.0000000000000000,0.00166574125485841199
375,270,387.5000000000000000,285.0000000000000000,0.00018508236165093467
